beasiswa,prodi,penerima
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Geofisika,0
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Elins,0
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,IlKomp,0
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Kimia,1
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Matemat,0
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Statistika,0
BEASISWA PT. RIAU ANDALAN PULP AND PAPER (RAPP) 2024,Aktuaria,0
Teladan KIP K 2025,Fisika,0
Teladan KIP K 2025,Geofisika,1
Teladan KIP K 2025,Elins,0
Teladan KIP K 2025,IlKomp,1
Teladan KIP K 2025,Kimia,0
Teladan KIP K 2025,Matemat,0
Teladan KIP K 2025,Statistika,0
Teladan KIP K 2025,Aktuaria,0
Karya Salemba Empat Tahun 2025,Fisika,0
Karya Salemba Empat Tahun 2025,Geofisika,0
Karya Salemba Empat Tahun 2025,Elins,1
Karya Salemba Empat Tahun 2025,IlKomp,2
Karya Salemba Empat Tahun 2025,Kimia,3
Karya Salemba Empat Tahun 2025,Matemat,0
Karya Salemba Empat Tahun 2025,Statistika,1
Karya Salemba Empat Tahun 2025,Aktuaria,1
2025 BIM Saintek Sarjana,Fisika,0
2025 BIM Saintek Sarjana,Geofisika,0
2025 BIM Saintek Sarjana,Elins,1
2025 BIM Saintek Sarjana,IlKomp,1
2025 BIM Saintek Sarjana,Kimia,0
2025 BIM Saintek Sarjana,Matemat,0
2025 BIM Saintek Sarjana,Statistika,0
2025 BIM Saintek Sarjana,Aktuaria,0
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Fisika,5
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Geofisika,7
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Elins,2
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,IlKomp,4
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Kimia,11
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Matemat,4
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Statistika,3
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025,Aktuaria,4
BSI Scholarship Prestasi Unggulan 2025,Fisika,0
BSI Scholarship Prestasi Unggulan 2025,Geofisika,1
BSI Scholarship Prestasi Unggulan 2025,Elins,1
BSI Scholarship Prestasi Unggulan 2025,IlKomp,1
BSI Scholarship Prestasi Unggulan 2025,Kimia,2
BSI Scholarship Prestasi Unggulan 2025,Matemat,0
BSI Scholarship Prestasi Unggulan 2025,Statistika,1
BSI Scholarship Prestasi Unggulan 2025,Aktuaria,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Fisika,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Geofisika,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Elins,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,IlKomp,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Kimia,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Matemat,0
Bantuan Donatur Orang Tua semester gasal 2025-2026,Statistika,1
Bantuan Donatur Orang Tua semester gasal 2025-2026,Aktuaria,0
Jardine UGM Scholarship 2025,Fisika,0
Jardine UGM Scholarship 2025,Geofisika,0
Jardine UGM Scholarship 2025,Elins,0
Jardine UGM Scholarship 2025,IlKomp,1
Jardine UGM Scholarship 2025,Kimia,0
Jardine UGM Scholarship 2025,Matemat,0
Jardine UGM Scholarship 2025,Statistika,1
Jardine UGM Scholarship 2025,Aktuaria,0
Beasiswa Pemerintah Kota Batam 2025,Fisika,0
Beasiswa Pemerintah Kota Batam 2025,Geofisika,0
Beasiswa Pemerintah Kota Batam 2025,Elins,0
Beasiswa Pemerintah Kota Batam 2025,IlKomp,0
Beasiswa Pemerintah Kota Batam 2025,Kimia,1
Beasiswa Pemerintah Kota Batam 2025,Matemat,0
Beasiswa Pemerintah Kota Batam 2025,Statistika,0
Beasiswa Pemerintah Kota Batam 2025,Aktuaria,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Fisika,1
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Geofisika,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Elins,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),IlKomp,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Kimia,1
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Matemat,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Statistika,0
Beasiswa Cendekia BAZNAS 2025 (angkatan-7),Aktuaria,0
Afirmasi Pendidikan Tinggi 2025,Fisika,1
Afirmasi Pendidikan Tinggi 2025,Geofisika,0
Afirmasi Pendidikan Tinggi 2025,Elins,0
Afirmasi Pendidikan Tinggi 2025,IlKomp,0
Afirmasi Pendidikan Tinggi 2025,Kimia,0
Afirmasi Pendidikan Tinggi 2025,Matemat,0
Afirmasi Pendidikan Tinggi 2025,Statistika,0
Afirmasi Pendidikan Tinggi 2025,Aktuaria,0
Tanoto Teladan 2026,Fisika,0
Tanoto Teladan 2026,Geofisika,0
Tanoto Teladan 2026,Elins,0
Tanoto Teladan 2026,IlKomp,1
Tanoto Teladan 2026,Kimia,0
Tanoto Teladan 2026,Matemat,0
Tanoto Teladan 2026,Statistika,0
Tanoto Teladan 2026,Aktuaria,0
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Fisika,1
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Geofisika,3
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Elins,1
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,IlKomp,0
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Kimia,0
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Matemat,0
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Statistika,2
BEASISWA PENDIDIKAN “BAYAN PEDULI” PROGRAM 2025,Aktuaria,1
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Fisika,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Geofisika,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Elins,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,IlKomp,0
